---- Options ----
width: 10
height: 20
block_size: 30
batch_size: 512
lr: 0.001
gamma: 0.999
initial_epsilon: 0.9
final_epsilon: 0.001
num_decay_epochs: 1000
num_episodes: 10000
max_episode_length: 5000
save_interval: 200
replay_memory_size: 50000
tensorboard_dir: runs
saved_dir: output/gamma0999
log_file: output/gamma0999/train.log
gpu: 1
sim_rom_mode: False
--------

Episode: 161/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 162/10000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 163/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 164/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 165/10000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 166/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 167/10000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 168/10000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 169/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 170/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 171/10000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 172/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 173/10000, Score: 19, Tetrominoes 21, Cleared lines: 0
Episode: 174/10000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 175/10000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 176/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 177/10000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 178/10000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 179/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 180/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 181/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 182/10000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 183/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 184/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 185/10000, Score: 9, Tetrominoes 11, Cleared lines: 0
Episode: 186/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 187/10000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 188/10000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 189/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 190/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 191/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 192/10000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 193/10000, Score: 22, Tetrominoes 24, Cleared lines: 0
Episode: 194/10000, Score: 19, Tetrominoes 21, Cleared lines: 0
Episode: 195/10000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 196/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 197/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 198/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 199/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 200/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 201/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 202/10000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 203/10000, Score: 7, Tetrominoes 9, Cleared lines: 0
Episode: 204/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 205/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 206/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 207/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 208/10000, Score: 9, Tetrominoes 11, Cleared lines: 0
Episode: 209/10000, Score: 8, Tetrominoes 10, Cleared lines: 0
Episode: 210/10000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 211/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 212/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 213/10000, Score: 20, Tetrominoes 22, Cleared lines: 0
Episode: 214/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 215/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 216/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 217/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 218/10000, Score: 9, Tetrominoes 11, Cleared lines: 0
Episode: 219/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 220/10000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 221/10000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 222/10000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 223/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 224/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 225/10000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 226/10000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 227/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 228/10000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 229/10000, Score: 8, Tetrominoes 10, Cleared lines: 0
Episode: 230/10000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 231/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 232/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 233/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 234/10000, Score: 22, Tetrominoes 24, Cleared lines: 0
Episode: 235/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 236/10000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 237/10000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 238/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 239/10000, Score: 9, Tetrominoes 11, Cleared lines: 0
Episode: 240/10000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 241/10000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 242/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 243/10000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 244/10000, Score: 21, Tetrominoes 23, Cleared lines: 0
Episode: 245/10000, Score: 8, Tetrominoes 10, Cleared lines: 0
Episode: 246/10000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 247/10000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 248/10000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 249/10000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 250/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 251/10000, Score: 14, Tetrominoes 16, Cleared lines: 0
