---- Options ----
width: 10
height: 20
block_size: 30
batch_size: 512
lr: 0.001
gamma: 1.0
initial_epsilon: 0.9
final_epsilon: 0.001
num_decay_epochs: 1000.0
num_episodes: 100000
max_episode_length: 5000
save_interval: 200
replay_memory_size: 50000
tensorboard_dir: runs/runs2
saved_dir: output/output2
log_file: output/output2/train.log
gpu: 0
sim_rom_mode: False
--------

Episode: 169/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 170/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 171/100000, Score: 19, Tetrominoes 21, Cleared lines: 0
Episode: 172/100000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 173/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 174/100000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 175/100000, Score: 19, Tetrominoes 21, Cleared lines: 0
Episode: 176/100000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 177/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 178/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 179/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 180/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 181/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 182/100000, Score: 8, Tetrominoes 10, Cleared lines: 0
Episode: 183/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 184/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 185/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 186/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 187/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 188/100000, Score: 9, Tetrominoes 11, Cleared lines: 0
Episode: 189/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 190/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 191/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 192/100000, Score: 8, Tetrominoes 10, Cleared lines: 0
Episode: 193/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 194/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 195/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 196/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 197/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 198/100000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 199/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 200/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 201/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 202/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 203/100000, Score: 20, Tetrominoes 22, Cleared lines: 0
Episode: 204/100000, Score: 22, Tetrominoes 24, Cleared lines: 0
Episode: 205/100000, Score: 20, Tetrominoes 22, Cleared lines: 0
Episode: 206/100000, Score: 19, Tetrominoes 21, Cleared lines: 0
Episode: 207/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 208/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 209/100000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 210/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 211/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 212/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 213/100000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 214/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 215/100000, Score: 19, Tetrominoes 21, Cleared lines: 0
Episode: 216/100000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 217/100000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 218/100000, Score: 20, Tetrominoes 22, Cleared lines: 0
Episode: 219/100000, Score: 19, Tetrominoes 21, Cleared lines: 0
Episode: 220/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 221/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 222/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 223/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 224/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 225/100000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 226/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 227/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 228/100000, Score: 21, Tetrominoes 23, Cleared lines: 0
Episode: 229/100000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 230/100000, Score: 33, Tetrominoes 25, Cleared lines: 1
Episode: 231/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 232/100000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 233/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 234/100000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 235/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 236/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 237/100000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 238/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 239/100000, Score: 12, Tetrominoes 14, Cleared lines: 0
Episode: 240/100000, Score: 33, Tetrominoes 25, Cleared lines: 1
Episode: 241/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 242/100000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 243/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 244/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 245/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 246/100000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 247/100000, Score: 8, Tetrominoes 10, Cleared lines: 0
Episode: 248/100000, Score: 19, Tetrominoes 21, Cleared lines: 0
Episode: 249/100000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 250/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 251/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 252/100000, Score: 11, Tetrominoes 13, Cleared lines: 0
Episode: 253/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 254/100000, Score: 7, Tetrominoes 9, Cleared lines: 0
Episode: 255/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 256/100000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 257/100000, Score: 10, Tetrominoes 12, Cleared lines: 0
Episode: 258/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 259/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 260/100000, Score: 7, Tetrominoes 9, Cleared lines: 0
Episode: 261/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 262/100000, Score: 19, Tetrominoes 21, Cleared lines: 0
Episode: 263/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 264/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 265/100000, Score: 20, Tetrominoes 22, Cleared lines: 0
Episode: 266/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
Episode: 267/100000, Score: 17, Tetrominoes 19, Cleared lines: 0
Episode: 268/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 269/100000, Score: 18, Tetrominoes 20, Cleared lines: 0
Episode: 270/100000, Score: 7, Tetrominoes 9, Cleared lines: 0
Episode: 271/100000, Score: 13, Tetrominoes 15, Cleared lines: 0
Episode: 272/100000, Score: 21, Tetrominoes 23, Cleared lines: 0
Episode: 273/100000, Score: 19, Tetrominoes 21, Cleared lines: 0
Episode: 274/100000, Score: 16, Tetrominoes 18, Cleared lines: 0
Episode: 275/100000, Score: 15, Tetrominoes 17, Cleared lines: 0
Episode: 276/100000, Score: 14, Tetrominoes 16, Cleared lines: 0
